מקור	יחידה	תביעות	צרכים	נפסלו-בהמצאה	מתגי-בעלים	ms	הערה
א·nl	nl-smoke:1	0	0	0	0	527	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:2	0	0	0	0	5	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:3	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:4	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:5	1	0	0	1	13	ישות-בלי-שקע
א·nl	nl-smoke:6	0	0	0	0	10	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:7	1	0	0	1	12	ישות-בלי-שקע
א·nl	nl-smoke:8	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:9	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:10	1	0	0	1	10	אין-ישות
א·nl	nl-smoke:11	0	0	0	0	3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:12	1	0	0	1	4	אין-ישות
א·nl	nl-smoke:13	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-smoke:14	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:1	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:2	1	0	0	1	8	אין-ישות
א·nl	nl-quality:3	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:4	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:5	1	0	0	1	8	אין-ישות
א·nl	nl-quality:6	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:7	1	0	0	1	5	אין-ישות
א·nl	nl-quality:8	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:9	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:10	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:11	0	0	0	0	3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:12	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:13	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:14	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:15	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:16	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:17	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:18	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:19	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:20	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
א·nl	nl-quality:21	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_audit	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_ent1	2	0	0	3	58	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ב·specs	app_ent10	2	0	0	2	41	אין-ישות
ב·specs	app_ent11	1	0	0	1	27	אין-ישות
ב·specs	app_ent12	2	0	0	2	30	אין-ישות
ב·specs	app_ent13	1	0	0	1	32	ישות-בלי-שקע
ב·specs	app_ent14	1	0	0	3	38	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ב·specs	app_ent15	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_ent16	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_ent17	2	0	0	2	36	אין-ישות
ב·specs	app_ent18	1	0	0	1	32	אין-ישות
ב·specs	app_ent19	2	0	0	2	39	ישות-בלי-שקע/אין-ישות
ב·specs	app_ent2	1	0	0	1	38	ישות-לא-מוכרעת
ב·specs	app_ent20	1	0	0	1	35	ישות-לא-מוכרעת
ב·specs	app_ent21	1	0	0	1	23	אין-ישות
ב·specs	app_ent22	8	0	0	9	55	אין-ישות/ישות-בלי-שקע/אגרגציה-בלי-אות-סימן
ב·specs	app_ent23	2	0	0	2	34	אין-ישות
ב·specs	app_ent24	1	0	0	1	25	אין-ישות
ב·specs	app_ent25	1	0	0	1	28	ישות-בלי-שקע
ב·specs	app_ent26	3	0	0	3	47	ישות-בלי-שקע
ב·specs	app_ent27	0	0	0	0	2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_ent28	3	0	0	3	44	ישות-לא-מוכרעת/אין-ישות
ב·specs	app_ent29	0	0	0	0	3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_ent3	3	0	0	3	51	ישות-בלי-שקע/אין-ישות
ב·specs	app_ent4	1	0	0	1	27	אין-ישות
ב·specs	app_ent5	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_ent6	1	0	0	1	26	ישות-לא-מוכרעת
ב·specs	app_ent7	1	0	0	1	30	ישות-לא-מוכרעת
ב·specs	app_ent8	3	0	0	3	39	אין-ישות
ב·specs	app_ent9	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_flags	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	app_hub	19	0	0	20	122	ישות-בלי-שקע/אין-ישות/אגרגציה-בלי-אות-סימן
ב·specs	app_scr30	6	0	0	6	44	ישות-בלי-שקע/אין-ישות
ב·specs	app_scr31	2	0	0	2	23	אין-ישות
ב·specs	app_scr32	6	0	0	6	49	ישות-בלי-שקע/אין-ישות
ב·specs	app_scr33	5	0	0	5	35	ישות-בלי-שקע/אין-ישות
ב·specs	app_scr34	6	0	0	7	48	ישות-בלי-שקע/אין-ישות/אגרגציה-בלי-אות-סימן
ב·specs	app_settings	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	business	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	capautodream	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	capclockcalendar	4	0	0	4	61	ישות-לא-מוכרעת/אין-ישות
ב·specs	capmailphone	3	0	0	3	65	אין-ישות/ישות-לא-מוכרעת
ב·specs	captimegematria	9	0	0	9	80	אין-ישות/ישות-לא-מוכרעת
ב·specs	cards11	1	0	0	1	30	ישות-בלי-שקע
ב·specs	charts	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	components	1	0	0	1	34	אין-ישות
ב·specs	controls	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	crazy	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	dash11	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	entity	2	0	0	3	28	אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ב·specs	entry	22	0	0	24	253	אין-ישות/אגרגציה-בלי-אות-סימן/ישות-בלי-שקע
ב·specs	feedback10	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	form9	1	0	0	1	22	ישות-לא-מוכרעת
ב·specs	improv	5	0	0	5	58	אין-ישות
ב·specs	input9	0	0	0	0	1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	media	1	0	0	1	29	אין-ישות
ב·specs	mission	8	0	0	10	86	ישות-בלי-שקע/אין-ישות/אגרגציה-בלי-אות-סימן
ב·specs	navflow	2	0	0	2	35	ישות-בלי-שקע/אין-ישות
ב·specs	nl	6	0	0	6	44	ישות-בלי-שקע/אין-ישות/ישות-לא-מוכרעת
ב·specs	overlay10	2	0	0	2	25	אין-ישות
ב·specs	quest1	2	0	0	3	67	ישות-בלי-שקע/אגרגציה-בלי-אות-סימן
ב·specs	quest2	2	1	0	2	135	תביעה-חלקית/אין-ישות
ב·specs	quest3	2	0	0	2	50	ישות-בלי-שקע/אין-ישות
ב·specs	rich	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
ב·specs	shipping	0	0	0	0	0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)
