מקור	יחידה	שלב	תביעות	צרכים	נפתרו	התנהגויות	דוגמאות	ms	סיבת-הנפילה	משפט
א·nl	nl-smoke:1	0	0	0				391	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת לניהול מרפאה עם מטופלים, תורים ורופאים
א·nl	nl-smoke:2	0	0	0				7	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	אפליקציה לחדר כושר עם מנויים, אימונים ותשלומים
א·nl	nl-smoke:3	0	0	0				1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול מלון עם חדרים, הזמנות ואורחים
א·nl	nl-smoke:4	0	0	0				4	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת לבית ספר עם תלמידים, מורים וכיתות
א·nl	nl-smoke:5	1	1	0				15	ישות-בלי-שקע	אפליקציה למסעדה עם מנות, הזמנות ושולחנות
א·nl	nl-smoke:6	0	0	0				4	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול חנות עם מוצרים, לקוחות והזמנות
א·nl	nl-smoke:7	1	1	0				12	ישות-בלי-שקע	מערכת לעמותה עם תורמים, תרומות וקבלות
א·nl	nl-smoke:8	0	0	0				4	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול פרויקטים עם משימות, לקוחות ותשלומים
א·nl	nl-smoke:9	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול מלון: חדרים, אורחים, הזמנות
א·nl	nl-smoke:10	1	1	0				13	אין-ישות	מערכת לספרייה: כל ספר עם שם, מחבר, שנה; כל שואל עם שם וטלפון
א·nl	nl-smoke:11	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול רכבים: לרכב יש יצרן, דגם, שנה ומחיר
א·nl	nl-smoke:12	1	1	0				6	אין-ישות	אפליקציה למכון כושר
א·nl	nl-smoke:13	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת CRM עם לקוחות, עסקאות ואנשי קשר
א·nl	nl-smoke:14	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת גדולה לניהול חברת בנייה עם פרויקטים, קבלני משנה, חומרים, תשלומים, עובדים, ציוד ובטיחות
א·nl	nl-quality:1	0	0	0				1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת לניהול מרפאה עם מטופלים, תורים ורופאים
א·nl	nl-quality:2	1	1	0				10	אין-ישות	אפליקציה למכון כושר עם מנויים, אימונים ומאמנים
א·nl	nl-quality:3	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת לבית ספר עם תלמידים, מורים, כיתות וציונים
א·nl	nl-quality:4	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול מלון: חדרים, אורחים, הזמנות
א·nl	nl-quality:5	1	1	0				9	אין-ישות	מערכת לספרייה: כל ספר עם שם, מחבר, שנה
א·nl	nl-quality:6	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול רכבים: לרכב יש יצרן, דגם, שנה ומחיר
א·nl	nl-quality:7	1	1	0				5	אין-ישות	אפליקציה למכון כושר
א·nl	nl-quality:8	0	0	0				2	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת CRM עם לקוחות, עסקאות ואנשי קשר
א·nl	nl-quality:9	0	0	0				1	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת לניהול בית חולים עם מחלקות, מטופלים, רופאים, אחיות ותרופות
א·nl	nl-quality:10	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	אפליקציה לניהול חברת הובלות עם משאיות, נהגים, משלוחים ולקוחות
א·nl	nl-quality:11	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת לניהול אולם אירועים עם אירועים, לקוחות, ספקים ותשלומים
א·nl	nl-quality:12	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	ניהול משרד עורכי דין: תיקים, לקוחות, פגישות וחשבוניות
א·nl	nl-quality:13	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת שמנהלת מטופלים ותורים
א·nl	nl-quality:14	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	תוכנה שמכילה מוצרים, קטגוריות והזמנות
א·nl	nl-quality:15	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	רשימת אנשי קשר עם שם, טלפון, אימייל וכתובת
א·nl	nl-quality:16	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	תעשה לי מערכת לניהול חנות אונליין
א·nl	nl-quality:17	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	צור אפליקציה לניהול מלאי
א·nl	nl-quality:18	0	0	0				3	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	הכן מערכת לניהול לקוחות ופרויקטים
א·nl	nl-quality:19	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	אפליקציה שיש בה משתמשים, פוסטים ותגובות
א·nl	nl-quality:20	0	0	0				0	אין תביעת-התנהגות (אין פועל-מטרה במשפט)	מערכת לניהול חברת בנייה עם פרויקטים, קבלני משנה, חומרים, תשלומים, עובדים וציוד
